epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8954,1.4735,2.00517,1.36094,0.46123,0.52315,0.49247,0.28478,1.15049,1.35208,1.09248,0.000414863,0.000414863,0.000414863
2,165.813,1.36381,1.33526,1.25979,0.54663,0.60151,0.57307,0.33439,1.16701,1.22356,1.09375,0.000815065,0.000815065,0.000815065
3,244.365,1.35425,1.25519,1.25333,0.5164,0.58465,0.51425,0.29317,1.22821,1.37258,1.11775,0.00119877,0.00119877,0.00119877
4,323.68,1.33174,1.1918,1.23611,0.54842,0.61662,0.58322,0.30986,1.30567,1.27587,1.13311,0.00117575,0.00117575,0.00117575
5,406.094,1.32252,1.14009,1.2278,0.57789,0.64308,0.60967,0.36227,1.14044,1.20055,1.07698,0.001151,0.001151,0.001151
6,486.395,1.29004,1.09656,1.20933,0.64456,0.60748,0.65138,0.39662,1.09525,1.04617,1.06519,0.00112625,0.00112625,0.00112625
7,565.642,1.27175,1.05264,1.19571,0.60926,0.62173,0.61718,0.37391,1.05646,1.11262,1.0441,0.0011015,0.0011015,0.0011015
8,646.424,1.26219,1.04728,1.19542,0.62515,0.65767,0.66184,0.39411,1.11578,1.06096,1.0605,0.00107675,0.00107675,0.00107675
9,725.34,1.24299,1.0096,1.18421,0.6083,0.66773,0.63584,0.38644,1.13757,1.02153,1.06596,0.001052,0.001052,0.001052
10,805.01,1.24337,1.00403,1.18317,0.66931,0.65474,0.67433,0.40898,1.12875,1.01609,1.06801,0.00102725,0.00102725,0.00102725
11,884.952,1.22508,0.98309,1.17558,0.66442,0.65948,0.6794,0.42837,1.01845,1.01058,1.05309,0.0010025,0.0010025,0.0010025
12,963.427,1.20871,0.95378,1.16835,0.66514,0.70819,0.7054,0.43807,1.04806,0.94342,1.02783,0.00097775,0.00097775,0.00097775
13,1043.89,1.2121,0.94785,1.16695,0.70169,0.64558,0.70805,0.42921,1.04517,0.93996,1.03918,0.000953,0.000953,0.000953
14,1123.9,1.19344,0.92762,1.16039,0.6587,0.70671,0.7096,0.43528,1.18119,0.95387,1.07757,0.00092825,0.00092825,0.00092825
15,1202.5,1.18962,0.91522,1.15791,0.66789,0.70846,0.71678,0.45007,1.05975,0.90525,1.03123,0.0009035,0.0009035,0.0009035
16,1283.72,1.19431,0.90178,1.15667,0.64945,0.71514,0.69521,0.43001,1.06677,0.9119,1.02927,0.00087875,0.00087875,0.00087875
17,1365.75,1.17738,0.8839,1.14455,0.66308,0.74177,0.70728,0.43376,1.11558,0.89243,1.03289,0.000854,0.000854,0.000854
18,1444.99,1.15825,0.86222,1.139,0.6685,0.69913,0.70466,0.43649,1.03293,0.89652,1.03063,0.00082925,0.00082925,0.00082925
19,1525.38,1.16915,0.86402,1.14398,0.66771,0.72088,0.71115,0.44882,1.00107,0.89207,1.00918,0.0008045,0.0008045,0.0008045
20,1604.55,1.1496,0.84012,1.12947,0.68965,0.6855,0.72391,0.46479,0.99122,0.85696,0.99737,0.00077975,0.00077975,0.00077975
21,1682.97,1.15384,0.8397,1.1352,0.68068,0.73288,0.72131,0.46199,1.03505,0.85403,1.01004,0.000755,0.000755,0.000755
22,1762.97,1.14879,0.82742,1.13252,0.71881,0.71163,0.74201,0.47447,1.06067,0.82805,1.03612,0.00073025,0.00073025,0.00073025
23,1842.99,1.14438,0.82273,1.12962,0.65108,0.73372,0.72354,0.46899,0.97273,0.8703,0.99542,0.0007055,0.0007055,0.0007055
24,1922.49,1.12874,0.80895,1.12135,0.66064,0.74698,0.74218,0.4755,1.02908,0.83729,1.01159,0.00068075,0.00068075,0.00068075
25,2002.7,1.1316,0.79546,1.12256,0.69381,0.7544,0.75839,0.49211,0.97086,0.83007,0.99219,0.000656,0.000656,0.000656
26,2081.44,1.12524,0.79339,1.12137,0.71092,0.72459,0.75623,0.49958,0.93834,0.79423,0.99105,0.00063125,0.00063125,0.00063125
27,2161.38,1.12542,0.78371,1.1207,0.67992,0.7411,0.74833,0.48986,0.97976,0.81589,0.99679,0.0006065,0.0006065,0.0006065
28,2241.91,1.11059,0.76582,1.10697,0.69796,0.74656,0.77159,0.50762,0.94474,0.78599,0.97966,0.00058175,0.00058175,0.00058175
29,2320.56,1.10768,0.76484,1.10868,0.73121,0.73961,0.77031,0.50006,0.98974,0.77915,0.992,0.000557,0.000557,0.000557
30,2400.92,1.09145,0.75071,1.1034,0.68879,0.77497,0.76709,0.49836,0.99135,0.77736,0.99528,0.00053225,0.00053225,0.00053225
31,2480.01,1.09516,0.741,1.10416,0.7382,0.76542,0.7813,0.51986,0.94131,0.7494,0.9826,0.0005075,0.0005075,0.0005075
32,2558.85,1.09189,0.74257,1.10397,0.74412,0.7356,0.77151,0.50821,0.9695,0.75602,0.98505,0.00048275,0.00048275,0.00048275
33,2638.32,1.08561,0.72883,1.09775,0.74292,0.74027,0.7805,0.49939,1.0393,0.77785,1.00323,0.000458,0.000458,0.000458
34,2717.46,1.07044,0.72604,1.09233,0.73092,0.78339,0.78789,0.50429,1.02553,0.74953,1.00718,0.00043325,0.00043325,0.00043325
35,2797.12,1.07514,0.71513,1.09254,0.71884,0.76564,0.77384,0.51757,0.91775,0.73628,0.96892,0.0004085,0.0004085,0.0004085
36,2877.26,1.06849,0.70865,1.08884,0.75769,0.76482,0.79832,0.51937,1.02937,0.74834,1.00395,0.00038375,0.00038375,0.00038375
37,2955.77,1.06591,0.704,1.08958,0.73584,0.78516,0.80047,0.53698,0.91515,0.71591,0.97294,0.000359,0.000359,0.000359
38,3036.29,1.05347,0.69539,1.08049,0.74735,0.78178,0.80621,0.52239,0.9961,0.7117,0.99141,0.00033425,0.00033425,0.00033425
39,3115.49,1.05215,0.68744,1.07974,0.76292,0.76329,0.80331,0.53213,0.9324,0.71668,0.97072,0.0003095,0.0003095,0.0003095
40,3195.51,1.04043,0.68093,1.0752,0.75427,0.78483,0.8059,0.53291,0.9609,0.71156,0.97663,0.00028475,0.00028475,0.00028475
41,3276.09,1.0215,0.6226,1.04433,0.7543,0.79718,0.81177,0.54213,0.92564,0.7004,0.97052,0.00026,0.00026,0.00026
42,3351.75,1.00857,0.59349,1.03334,0.77774,0.774,0.82108,0.54652,0.95442,0.70163,0.97611,0.00023525,0.00023525,0.00023525
43,3429.67,0.99594,0.58224,1.02969,0.77694,0.78366,0.81554,0.54254,0.93844,0.68831,0.9736,0.0002105,0.0002105,0.0002105
44,3505.18,0.99303,0.57506,1.02538,0.79048,0.79361,0.81817,0.54555,0.96235,0.68717,0.97915,0.00018575,0.00018575,0.00018575
45,3581.21,0.98254,0.56395,1.02122,0.76947,0.79373,0.82054,0.54513,0.96602,0.69335,0.98074,0.000161,0.000161,0.000161
46,3658.89,0.98065,0.56091,1.01856,0.77475,0.79116,0.82341,0.54379,0.97179,0.6922,0.9785,0.00013625,0.00013625,0.00013625
47,3734.91,0.9651,0.54997,1.01352,0.77876,0.79374,0.81986,0.55382,0.91071,0.67097,0.96023,0.0001115,0.0001115,0.0001115
48,3812.92,0.96191,0.54813,1.00981,0.7978,0.78887,0.82156,0.55269,0.93071,0.6661,0.96634,8.675e-05,8.675e-05,8.675e-05
49,3888.82,0.95939,0.54216,1.01138,0.80072,0.78909,0.82414,0.54885,0.92888,0.66458,0.96438,6.2e-05,6.2e-05,6.2e-05
50,3965.77,0.95555,0.53691,1.01004,0.7808,0.80133,0.82629,0.54971,0.9427,0.66857,0.97052,3.725e-05,3.725e-05,3.725e-05
